objectid,filename,title,format,date,creator,description,latitude,longitude,location,institution,subject
item_001,IMG_5796-converted.jpg,Walt Disney World Disney Hollywood Studios Main Entrance,image/jpeg,2024 - 05,Ethan Stephens,"This is the main entrance to the Disney's Hollywood Studios park at Walt Disney World, located in Orlando, Florida, in the United States. This is where guests purchase tickets, then enter and exit the park. Upon entering, guests find themselves in the main street section of the park.",28.35759879,-81.55124395,"Orlando, Florida",The Walt Disney Company,Disney; Florida; Theme Parks; Vacation; Travel; Disney World; Walt Disney; Recreation; Entertainment; Orlando
item_002,IMG_4434.JPG,Disneyland Paris Hyperspace Mountain,image/jpeg,2023 - 06,Ethan Stephens,"This is the Hyperspace Mountain ride attraction located in Discoveryland at Disneyland Paris. The ride was originally themed after the famous silent picture ""Voyage to the Moon"", with the exterior design inspired by the science fiction works of Jules Verne. The ride was redesinged to a Star Wars theme.
",48.87379222,2.778838083,"Marne-la-Vallée, France",The Walt Disney Company,Disney; Paris; Theme Parks; Vacation; Travel; Disneyland; Walt Disney; Recreation; Entertainment; Marne-la-Vallée; France
item_003,IMG_4505.JPG,Disneyland Paris Pirates' Beach,image/jpeg,2023 - 06,Ethan Stephens,"This is Pirates' Beach, located at Disneyland Paris in the Adventureland area of the park. The area is heavily themed after the ""Pirates of the Caribbean"" franchise and the ""Peter Pan"" animated film.",48.87286145,2.773829241,"Marne-la-Vallée, France",The Walt Disney Company,Disney; Paris; Theme Parks; Vacation; Travel; Disneyland; Walt Disney; Recreation; Entertainment; Marne-la-Vallée; France
item_004,IMG_4536.JPG,Disneyland Paris Big Thunder Mountain,image/jpeg,2023 - 06,Ethan Stephens,"Big Thunder Mountain is a thrill ride attraction located at Paris Disneyland in the Frontierland area of the park. The ride is located close to the Phantom Manor ride attraction, and is themed after the American Wild West. Big Thunder Mountain is situated on an island in the middle of a river, with steep drops and turns experienced throughout the ride. It is one of four different versions of the ride, the other three featured in Disney Parks in California, Florida, and Japan.",48.95846225,2.765992075,"Marne-la-Vallée, France",The Walt Disney Company,Disney; Paris; Theme Parks; Vacation; Travel; Disneyland; Walt Disney; Recreation; Entertainment; Marne-la-Vallée; France
item_005,IMG_6016-converted.jpg,Walt Disney World Magic Kingdom Main Street,image/jpeg,2024 - 05 - 06,Ethan Stephens,"This the first place people come to as they enter the Magic Kingdom park at Walt Disney World Resort. Main Street is inspired by the main street of Marceline, Missouri, the small town that Walt Disney lived in during his childhood. This section of the park is occupied mostly by shops and restaurants where visitors can shop for souvenir items, such as clothes, toys, games, mugs, etc. The Main Street area leads right up the park's main plaza, from which guests can enter any of the park's various lands.",28.41713417,-81.58125101,"Orlando, Florida",The Walt Disney Company,Disney; Florida; Theme Parks; Vacation; Travel; Disney World; Walt Disney; Recreation; Entertainment; Orlando
item_006,IMG_5819-converted.jpg,Disney Hollywood Studios Mickey & Minnie's Runaway Railway,image/jpeg,2024 - 05 - 05,Ethan Stephens,"Located in the central area of Disney's Hollywood Studios, at the end of the park's main street area, Mickey & Minnie's Runaway Railway is an indoor, trackless ride, and the first to feature Disney's iconic character Mickey Mouse. The ride is based on Disney's 2013 animated ""Mickey Mouse"" shorts series. The building the attraction is located inside is styled after Hollywood's iconic Grauman Chinese Theatre in Los Angles.
",28.35695232,-81.56058185,"Orlando, Florida",The Walt Disney Company,Disney; Florida; Theme Parks; Vacation; Travel; Disney World; Walt Disney; Recreation; Entertainment; Orlando
item_007,IMG_6341-converted.jpg,Walt Disney World Epcot Mexican Pavilion,image/jpeg,2024 - 05 - 07,Ethan Stephens,"The Mexican Pavilion is located at Disney's Epcot at the Walt Disney World resort. The Mexican Pavilion is one of the several cultural areas in Epcot's World Showcase, situated next to the Norway Pavilion. The Mexican Pavilion is themed after Mexican culture, with the interior designed like the outdoor plaza of a Mexican village at twilight, where tourists can shop for and purchase Mexican merchandise. The pavilion also has a restaurant called the San Ángel Inn Restaurante, which overlooks an indoor lagoon with a Mesoamerican temple and a smoldering volcano, and a boat ride called ""Grand Fiesta Tour starring the Three Caballeros.""
",28.37184694,-81.54748873,"Orlando, Florida",The Walt Disney Company,Disney; Florida; Theme Parks; Vacation; Travel; Disney World; Walt Disney; Recreation; Entertainment; Orlando
item_008,IMG_6458-converted.jpg,Walt Disney World Animal Kingdom Tree of Life,image/jpeg,2024 - 05 - 08,Ethan Stephens,"The Tree of Life is a 145-foot manmade baobab tree that was built in Disney's Animal Kingdom park. The Tree of Life is an iconic feature of Animal Kingdom, located in the center of the park, in the central area known as Discovery Island. Inside the tree, at its base, is an indoor theater that hosts the 3D-film attraction ""It's Tough to be a Bug!"". The exterior of the trunk and roots of the sculpture is decorated with carvings of various animals, both extinct and existing.",28.35810733,-81.59055633,"Orlando, Florida",The Walt Disney Company,Disney; Florida; Theme Parks; Vacation; Travel; Disney World; Walt Disney; Recreation; Entertainment; Orlando
item_009,IMG_6206-converted.jpg,Walt Disney World Magic Kingdom Cinderella Castle,image/jpeg,2024 - 05 - 06,Ethan Stephens,"The Cinderella Castle is a castle-like structure located in the central plaza area of the Magic Kingdom park. The castle features a restaurant and a fireworks show that is usually displayed after sunset. The castle is surrounded by a moat and serves as an entrance from the plaza to the Fantasyland section of the park. In front of the castle in the center of the plaza is a statue of Walt Disney and his iconic character, Mickey Mouse.",28.41975316,-81.58124595,"Orlando, Florida",The Walt Disney Company,Disney; Florida; Theme Parks; Vacation; Travel; Disney World; Walt Disney; Recreation; Entertainment; Orlando
item_010,IMG_5896-converted.jpg,Walt Disney World Hollywood Studios Slinky Dog Dash,image/jpeg,2024 - 05 - 05,Ethan Stephens,"The Slinky Dog Dash is a small outdoor coaster themed after the ""Toy Story"" franchise, located in the Toy Story Land section of Disney's Hollywood Studios park, between Pixar Plaza and Star Wars: Galaxy's Edge. The attraction's ride time is two minutes, and designed to look like it was made from toy pieces.",28.3565426,-81.56307335,"Orlando, Florida",The Walt Disney Company,Disney; Florida; Theme Parks; Vacation; Travel; Disney World; Walt Disney; Recreation; Entertainment; Orlando
